G (W/m^2),U (V),I (A),T_front (°C),T_back (°C),T_pipe (°C),T_water (°C),ΔP (%),Q_ev (l/s),Exp. time,P_d (W),Q (W),η_el (%),η_th (%),η_total (%)
840,15.97,3.91,45.0,33.0,30.0,27.0,0,0,0,62.44,0,0,0,0
840,16.25,3.89,45.0,44.0,34.0,32.0,1.17,0.00667,0,63.17,279.33,10.34,45.7,56.04
840,16.78,3.89,45.0,41.0,31.0,30.0,4.53,0.00667,10,65.27,223.47,10.68,38.56,47.24
840,16.9,3.87,45.0,39.0,30.5,30.5,4.82,0.00667,10,65.45,237.43,10.31,39.65,49.96
840,16.8,3.92,33.7,37.5,27.0,27.0,5.47,0.00909,10,63.34,190.45,10.36,31.16,41.52
840,16.84,3.97,33.7,35.7,27.6,27.6,7.07,0.00909,10,66.85,209.5,11.04,34.28,45.32
840,16.86,3.94,32.4,32.4,27.5,27.5,7.46,0.00909,10,65.47,255.21,11.44,42.53,53.97
840,16.88,3.94,30.0,30.5,27.1,27.1,7.49,0.01428,20,65.08,281.01,11.15,45.82,56.97
840,16.96,3.97,30.7,27.5,25.5,25.5,7.83,0.01428,20,65.07,329.21,11.45,52.79,64.24
840,17.05,3.95,32.2,27.4,25.5,25.4,9.14,0.01428,20,66.28,296.79,11.47,45.36,56.83
840,17.15,3.99,31.0,25.4,25.4,25.4,9.31,0.02083,20,68.26,317.19,11.57,46.53,58.1
840,17.23,3.97,31.0,26.0,26.0,26.0,9.91,0.02083,20,68.63,348.17,11.57,50.29,61.86
840,17.26,3.99,33.0,26.0,26.0,26.0,10.29,0.02083,20,68.87,349.17,11.57,52.68,64.24
